USD/INR,73.319,-0.051,-0.07,73.276,73.463,73.294,73.344
EUR/INR,86.2045,-0.0715,-0.08,86.0325,86.4040,86.1640,86.2450
GBP/INR,101.664,0.237,0.23,101.367,101.704,101.622,101.706
JPY/INR,0.6637,0.0005,0.08,0.6624,0.6639,0.6631,0.6643
EUR/USD,1.1757,-0.0005,-0.04,1.1738,1.1772,1.1756,1.1759
GBP/USD,1.3866,0.0037,0.26,1.3814,1.3871,1.3864,1.3867
USD/JPY,110.47,-0.24,-0.22,110.47,110.75,110.46,110.47
USD/CHF,0.9425,0.0004,0.04,0.9416,0.9440,0.9423,0.9427
AUD/USD,0.7627,0.0020,0.27,0.7599,0.7630,0.7625,0.7627
USD/CAD,1.2550,-0.0023,-0.18,1.2545,1.2594,1.2550,1.2551
BTC/USD,"57,641.2",334.5,0.58,"56,825.2","58,409.0","57,641.0","57,641.2"
US DOLLAR INDEX,92.987,-0.064,-0.07,92.922,93.135,92.970,93.005
INVESTING.COM EUR INDEX,106.97,-0.05,-0.04,106.84,107.11,0.00,0.00
NZD/USD,0.7045,0.0015,0.21,0.7016,0.7048,0.7044,0.7046
EUR/GBP,0.8480,-0.0024,-0.28,0.8472,0.8511,0.8478,0.8482
EUR/JPY,129.88,-0.29,-0.22,129.84,130.27,129.86,129.90
AUD/JPY,84.25,0.05,0.06,84.08,84.36,84.23,84.27
GBP/JPY,153.17,0.14,0.09,152.88,153.38,153.14,153.20
EUR/CHF,1.1081,0.0000,0.00,1.1072,1.1097,1.1079,1.1083
XAU/USD,"1,726.18",-3.39,-0.20,"1,721.36","1,729.93","1,726.04","1,726.33"
USD/INR,73.319,-0.051,-0.07,73.276,73.463,73.294,73.344
EUR/INR,86.2085,-0.0675,-0.08,86.0325,86.4040,86.1640,86.2530
GBP/INR,101.672,0.245,0.24,101.367,101.704,101.622,101.721
JPY/INR,0.6637,0.0005,0.08,0.6624,0.6639,0.6631,0.6643
EUR/USD,1.1759,-0.0003,-0.03,1.1738,1.1772,1.1757,1.1760
GBP/USD,1.3867,0.0038,0.27,1.3814,1.3871,1.3866,1.3868
USD/JPY,110.47,-0.24,-0.22,110.47,110.75,110.45,110.48
USD/CHF,0.9424,0.0002,0.03,0.9416,0.9440,0.9422,0.9425
AUD/USD,0.7628,0.0021,0.28,0.7599,0.7630,0.7627,0.7628
USD/CAD,1.2547,-0.0026,-0.21,1.2545,1.2594,1.2545,1.2549
BTC/USD,"57,641.0",334.2,0.58,"56,825.2","58,409.0","57,641.0","57,641.2"
US DOLLAR INDEX,92.983,-0.068,-0.07,92.922,93.135,92.965,93.000
INVESTING.COM EUR INDEX,106.97,-0.04,-0.04,106.84,107.11,0.00,0.00
NZD/USD,0.7046,0.0016,0.23,0.7016,0.7048,0.7044,0.7048
EUR/GBP,0.8479,-0.0025,-0.29,0.8472,0.8511,0.8478,0.8480
EUR/JPY,129.88,-0.28,-0.22,129.84,130.27,129.86,129.91
AUD/JPY,84.25,0.05,0.07,84.08,84.36,84.24,84.27
GBP/JPY,153.16,0.13,0.08,152.88,153.38,153.15,153.17
EUR/CHF,1.1080,-0.0001,-0.01,1.1072,1.1097,1.1077,1.1083
